Non-Matches,Recommended?
twitter:app:url:googleplay,"good, recommended words[1, 2]"
twitter:app:id:googleplay,"good, recommended words[1, 2, 3]"
com.stackexchange.marvin,"good, recommended words[1]"
stylesheet,"good, no recommended words"
text/css,"good, recommended words[1]"
application/json,"good, recommended words[1]"
module-args,"good, recommended words[1]"
Shared/options.mod,"good, recommended words[1, 2, 3]"
application/json,"good, recommended words[1]"
module-args,"good, recommended words[1]"
Shared/settings.mod,"good, recommended words[1, 2, 3]"
noscript-css,"good, no recommended words"
question-page unified-theme,"good, recommended words[1, 2, 3, 4]"
notify-container,"good, recommended words[1, 2]"
custom-header,"good, recommended words[1, 2]"
#,"bad, no recommended words"
menuitem,"good, no recommended words"
true,"good, recommended words[1]"
false,"good, recommended words[1]"
sm,"bad, no recommended words"
https://stackoverflow.com,"bad, recommended words[3]"
"top_nav.click({is_current:false, location:2, destination:8})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
-img _glyph,"bad, recommended words[2]"
s-navigation,"good, recommended words[2]"
presentation,"good, recommended words[1]"
md:d-none,"good, recommended words[3]"
https://stackoverflow.co/,"bad, recommended words[3]"
s-navigation--item js-gps-track,"good, recommended words[2, 3, 6]"
"top_nav.products.click({location:2, destination:7})","good, recommended words[1, 3, 4, 5, 6]"
#,"bad, no recommended words"
s-navigation--item js-gps-track js-products-menu,"good, recommended words[2, 3, 6, 8, 9]"
products-popover,"good, recommended words[1, 2]"
s-popover,"good, recommended words[2]"
s-popover#toggle,"good, recommended words[2, 3]"
is-selected,"good, recommended words[1, 2]"
"top_nav.products.click({location:2, destination:1})","good, recommended words[1, 3, 4, 5, 6]"
"[""top navigation"",""products menu click"",null,null,null]","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
md:d-none,"good, recommended words[3]"
/teams,"good, recommended words[1]"
s-navigation--item js-gps-track,"good, recommended words[2, 3, 6]"
"top_nav.products.click({location:2, destination:7})","good, recommended words[1, 3, 4, 5, 6]"
"[""top navigation"",""learn more - teams"",null,null,null]","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
s-popover ws2 mtn2 p0,"good, recommended words[2]"
products-popover,"good, recommended words[1, 2]"
menu,"good, recommended words[1]"
true,"good, recommended words[1]"
s-popover--arrow,"good, recommended words[2, 3]"
list-reset s-anchors s-anchors__inherit,"good, recommended words[1, 2, 4, 6, 7]"
m6,"bad, no recommended words"
/questions,"good, recommended words[1]"
"top_nav.products.click({location:2, destination:2})","good, recommended words[1, 3, 4, 5, 6]"
m6,"bad, no recommended words"
/teams,"good, recommended words[1]"
"top_nav.products.click({location:2, destination:3})","good, recommended words[1, 3, 4, 5, 6]"
m6,"bad, no recommended words"
https://stackoverflow.co/talent,"bad, recommended words[3, 4]"
"top_nav.products.click({location:2, destination:5})","good, recommended words[1, 3, 4, 5, 6]"
m6,"bad, no recommended words"
https://stackoverflow.co/advertising,"bad, recommended words[3, 4]"
"top_nav.products.click({location:2, destination:6})","good, recommended words[1, 3, 4, 5, 6]"
https://stackoverflow.co/,"bad, recommended words[3]"
"top_nav.products.click({location:2, destination:7})","good, recommended words[1, 3, 4, 5, 6]"
search,"good, recommended words[1]"
search,"good, recommended words[1]"
/search,"good, recommended words[1]"
off,"good, recommended words[1]"
q,"bad, no recommended words"
text,"good, recommended words[1]"
Search…,"good, recommended words[1]"
,"bad, no recommended words"
off,"good, recommended words[1]"
240,"bad, no recommended words"
s-input s-input__search js-search-field ,"good, recommended words[2, 4, 5, 7, 8]"
Search,"good, recommended words[1]"
top-search,"good, recommended words[1, 2]"
s-popover,"good, recommended words[2]"
focus->s-popover#show,"good, recommended words[1, 3, 4]"
true,"good, recommended words[1]"
s-input-icon s-input-icon__search svg-icon iconSearch,"good, recommended words[2, 3, 5, 6, 7, 9]"
18,"bad, no recommended words"
18,"bad, no recommended words"
0 0 18 18,"bad, no recommended words"
m18 16.5-5.14-5.18h-.35a7 7 0 1 0-1.19 1.19v.35L16.5 18l1.5-1.5ZM12 7A5 5 0 1 1 2 7a5 5 0 0 1 10 0Z,"bad, no recommended words"
s-popover p0 wmx100 wmn4 sm:wmn-initial js-top-search-popover,"bad, recommended words[2, 8, 10, 11, 12]"
top-search,"good, recommended words[1, 2]"
menu,"good, recommended words[1]"
s-popover--arrow,"good, recommended words[2, 3]"
js-spinner p24 d-flex ai-center jc-center d-none,"bad, recommended words[2, 5, 7, 9, 11]"
s-spinner s-spinner__sm fc-orange-400,"good, recommended words[2, 4, 7]"
js-ac-results overflow-y-auto hmx3 d-none,"bad, recommended words[2, 3, 4, 6, 9]"
js-search-hints,"good, recommended words[2, 3]"
Tips for searching,"good, recommended words[1, 2, 3]"
presentation,"good, recommended words[1]"
presentation,"good, recommended words[1]"
menu,"good, recommended words[1]"
header fw-wrap,"good, recommended words[1, 3]"
flex--item,"good, recommended words[1, 2]"
https://stackoverflow.com,"bad, recommended words[3]"
flex--item fl1,"good, recommended words[1, 2, 3]"
ai-center d-flex jc-end,"bad, recommended words[2, 4, 6]"
Close,"good, recommended words[1]"
true,"good, recommended words[1]"
svg-icon iconClear,"good, recommended words[2]"
18,"bad, no recommended words"
18,"bad, no recommended words"
0 0 18 18,"bad, no recommended words"
M15 4.41 13.59 3 9 7.59 4.41 3 3 4.41 7.59 9 3 13.59 4.41 15 9 10.41 13.59 15 15 13.59 10.41 9 15 4.41Z,"bad, no recommended words"
current-site ,"good, recommended words[1, 2]"
d-flex,"good, recommended words[2]"
fl1,"bad, recommended words[1]"
https://stackoverflow.com,"bad, recommended words[3]"
current-site-link site-link js-gps-track d-flex gs8 gsx,"bad, recommended words[1, 2, 3, 4, 5, 8, 10, 11]"
1,"bad, no recommended words"
site_switcher.click({ item_type:3 }),"good, recommended words[1, 2, 3, 4, 5]"
favicon favicon-stackoverflow site-icon flex--item,"good, recommended words[4, 5, 6, 7]"
Stack Overflow,"good, recommended words[1, 2]"
flex--item fl1,"good, recommended words[1, 2, 3]"
related-links,"good, recommended words[1, 2]"
https://stackoverflow.com/help,"bad, recommended words[3, 4]"
js-gps-track,"good, recommended words[3]"
site_switcher.click({ item_type:14 }),"good, recommended words[1, 2, 3, 4, 5]"
js-gps-track,"good, recommended words[3]"
site_switcher.click({ item_type:6 }),"good, recommended words[1, 2, 3, 4, 5]"
related-site d-flex,"good, recommended words[1, 2, 4]"
L-shaped-icon-container,"good, recommended words[2, 3, 4]"
L-shaped-icon,"good, recommended words[2, 3]"
https://meta.stackoverflow.com,"bad, recommended words[2, 4]"
 site-link js-gps-track d-flex gs8 gsx,"bad, recommended words[1, 2, 5, 7, 8]"
552,"bad, no recommended words"
"site.switch({ target_site:552, item_type:3 }),site_switcher.click({ item_type:4 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
favicon favicon-stackoverflowmeta site-icon flex--item,"good, recommended words[4, 5, 6, 7]"
Meta Stack Overflow,"good, recommended words[1, 2, 3]"
flex--item fl1,"good, recommended words[1, 2, 3]"
header,"good, recommended words[1]"
your-communities-header,"good, recommended words[1, 2, 3]"
modal-content,"good, recommended words[1, 2]"
your-communities-section,"good, recommended words[1, 2, 3]"
call-to-login,"good, recommended words[1, 2, 3]"
login-link js-gps-track,"good, recommended words[1, 2, 5]"
site_switcher.click({ item_type:10 }),"good, recommended words[1, 2, 3, 4, 5]"
login-link js-gps-track,"good, recommended words[1, 2, 5]"
site_switcher.click({ item_type:11 }),"good, recommended words[1, 2, 3, 4, 5]"
header,"good, recommended words[1]"
https://stackexchange.com/sites,"bad, recommended words[3, 4]"
float-right,"good, recommended words[1, 2]"
modal-content,"good, recommended words[1, 2]"
child-content,"good, recommended words[1, 2]"
#,"bad, no recommended words"
Search,"good, recommended words[1]"
true,"good, recommended words[1]"
search,"good, recommended words[1]"
Click to show search,"good, recommended words[1, 2, 3, 4]"
true,"good, recommended words[1]"
svg-icon iconSearch,"good, recommended words[2]"
18,"bad, no recommended words"
18,"bad, no recommended words"
0 0 18 18,"bad, no recommended words"
m18 16.5-5.14-5.18h-.35a7 7 0 1 0-1.19 1.19v.35L16.5 18l1.5-1.5ZM12 7A5 5 0 1 1 2 7a5 5 0 0 1 10 0Z,"bad, no recommended words"
nofollow,"good, no recommended words"
login.click,"good, recommended words[1, 2]"
nofollow,"good, no recommended words"
"[""sign up"",""Sign Up Navigation"",""Header"",null,null]","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
container,"good, recommended words[1]"
md lg,"bad, recommended words[2]"
navigation,"good, recommended words[1]"
nav-links,"good, recommended words[2]"
ps-relative,"good, recommended words[2]"
/,"bad, no recommended words"
pl8 js-gps-track nav-links--link,"good, recommended words[1, 4, 6, 7]"
"top_nav.click({is_current: false, location:2, destination:8})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
,"bad, no recommended words"
,"bad, no recommended words"
right,"good, recommended words[1]"
true,"good, recommended words[1]"
never,"good, recommended words[1]"
d-flex ai-center,"good, recommended words[2, 4]"
flex--item truncate,"good, recommended words[1, 2, 3]"
nav-links,"good, recommended words[2]"
ps-relative  youarehere,"good, recommended words[2]"
nav-questions,"good, recommended words[2]"
/questions,"good, recommended words[1]"
pl8 js-gps-track nav-links--link -link__with-icon,"good, recommended words[1, 4, 6, 7, 8, 9, 10]"
"top_nav.click({is_current: true, location:2, destination:1})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
,"bad, no recommended words"
,"bad, no recommended words"
right,"good, recommended words[1]"
true,"good, recommended words[1]"
never,"good, recommended words[1]"
true,"good, recommended words[1]"
18,"bad, no recommended words"
18,"bad, no recommended words"
0 0 18 18,"bad, no recommended words"
M9 1C4.64 1 1 4.64 1 9c0 4.36 3.64 8 8 8 4.36 0 8-3.64 8-8 0-4.36-3.64-8-8-8ZM8 15.32a6.46 6.46 0 0 1-4.3-2.74 6.46 6.46 0 0 1-.93-5.01L7 11.68v.8c0 .88.12 1.32 1 1.32v1.52Zm5.72-2c-.2-.66-1-1.32-1.72-1.32h-1v-2c0-.44-.56-1-1-1H6V7h1c.44 0 1-.56 1-1V5h2c.88 0 1.4-.72 1.4-1.6v-.33a6.45 6.45 0 0 1 3.83 4.51 6.45 6.45 0 0 1-1.51 5.73v.01Z,"bad, no recommended words"
-link--channel-name,"good, recommended words[1, 2, 3]"
ps-relative,"good, recommended words[2]"
nav-tags,"good, recommended words[2]"
/tags,"good, recommended words[1]"
 js-gps-track nav-links--link,"good, recommended words[3, 5, 6]"
"top_nav.click({is_current: false, location:2, destination:2})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
,"bad, no recommended words"
,"bad, no recommended words"
right,"good, recommended words[1]"
true,"good, recommended words[1]"
never,"good, recommended words[1]"
d-flex ai-center,"good, recommended words[2, 4]"
flex--item truncate,"good, recommended words[1, 2, 3]"
ps-relative,"good, recommended words[2]"
nav-users,"good, recommended words[2]"
/users,"good, recommended words[1]"
 js-gps-track nav-links--link,"good, recommended words[3, 5, 6]"
"top_nav.click({is_current: false, location:2, destination:3})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
,"bad, no recommended words"
,"bad, no recommended words"
right,"good, recommended words[1]"
true,"good, recommended words[1]"
never,"good, recommended words[1]"
d-flex ai-center,"good, recommended words[2, 4]"
flex--item truncate,"good, recommended words[1, 2, 3]"
ps-relative,"good, recommended words[2]"
nav-companies,"good, recommended words[2]"
 js-gps-track nav-links--link,"good, recommended words[3, 5, 6]"
"top_nav.click({is_current: false, location:2, destination:12})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
,"bad, no recommended words"
,"bad, no recommended words"
right,"good, recommended words[1]"
true,"good, recommended words[1]"
never,"good, recommended words[1]"
d-flex ai-center,"good, recommended words[2, 4]"
flex--item truncate,"good, recommended words[1, 2, 3]"
flex--item tt-uppercase tt-uppercase fs-fine fc-light,"good, recommended words[1, 2, 4, 6, 8, 10]"
flex--item fs-fine fc-light,"good, recommended words[1, 2, 4, 6]"
javascript:void(0),"good, recommended words[2]"
s-link s-link__inherit mr8 js-gps-track js-collectives-navcta-toggle,"good, recommended words[2, 4, 5, 9, 11, 13]"
popover-discover-collectives,"good, recommended words[1, 2, 3]"
s-popover,"good, recommended words[2]"
s-popover#toggle,"good, recommended words[2, 3]"
top,"good, recommended words[1]"
is-selected,"good, recommended words[1, 2]"
"top_nav.click({is_current:false, location:2, destination:17})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
true,"good, recommended words[1]"
svg-icon iconInfoSm,"good, recommended words[2]"
14,"bad, no recommended words"
14,"bad, no recommended words"
0 0 14 14,"bad, no recommended words"
M7 1a6 6 0 1 1 0 12A6 6 0 0 1 7 1Zm1 10V6H6v5h2Zm0-6V3H6v2h2Z,"bad, no recommended words"
ps-relative,"good, recommended words[2]"
nav-collective-discover,"good, recommended words[2, 3]"
/collectives,"good, recommended words[1]"
pl8 ai-center js-collectives-navcta-toggle js-gps-track nav-links--link -link__with-icon,"good, recommended words[1, 3, 5, 7, 10, 12, 13, 14, 15, 16]"
"top_nav.click({is_current: false, location:2, destination:18})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
,"bad, no recommended words"
,"bad, no recommended words"
right,"good, recommended words[1]"
true,"good, recommended words[1]"
never,"good, recommended words[1]"
true,"good, recommended words[1]"
mt-auto fc-orange-400 svg-icon iconStarVerified,"good, recommended words[1, 2, 4, 6]"
18,"bad, no recommended words"
18,"bad, no recommended words"
0 0 18 18,"bad, no recommended words"
M9.86.89a1.14 1.14 0 0 0-1.72 0l-.5.58c-.3.35-.79.48-1.23.33l-.72-.25a1.14 1.14 0 0 0-1.49.85l-.14.76c-.1.45-.45.8-.9.9l-.76.14c-.67.14-1.08.83-.85 1.49l.25.72c.15.44.02.92-.33 1.23l-.58.5a1.14 1.14 0 0 0 0 1.72l.58.5c.35.3.48.79.33 1.23l-.25.72c-.23.66.18 1.35.85 1.49l.76.14c.45.1.8.45.9.9l.14.76c.14.67.83 1.08 1.49.85l.72-.25c.44-.15.92-.02 1.23.33l.5.58c.46.52 1.26.52 1.72 0l.5-.58c.3-.35.79-.48 1.23-.33l.72.25c.66.23 1.35-.18 1.49-.85l.14-.76c.1-.45.45-.8.9-.9l.76-.14c.67-.14 1.08-.83.85-1.49l-.25-.72c-.15-.44-.02-.92.33-1.23l.58-.5c.52-.46.52-1.26 0-1.72l-.58-.5c-.35-.3-.48-.79-.33-1.23l.25-.72a1.14 1.14 0 0 0-.85-1.49l-.76-.14c-.45-.1-.8-.45-.9-.9l-.14-.76a1.14 1.14 0 0 0-1.49-.85l-.72.25c-.44.15-.92.02-1.23-.33l-.5-.58Zm-.49 2.67L10.6 6.6c.05.15.19.24.34.25l3.26.22c.36.03.5.48.23.71l-2.5 2.1a.4.4 0 0 0-.14.4l.8 3.16a.4.4 0 0 1-.6.44L9.2 12.13a.4.4 0 0 0-.42 0l-2.77 1.74a.4.4 0 0 1-.6-.44l.8-3.16a.4.4 0 0 0-.13-.4l-2.5-2.1a.4.4 0 0 1 .22-.7l3.26-.23a.4.4 0 0 0 .34-.25l1.22-3.03a.4.4 0 0 1 .74 0Z,"bad, no recommended words"
-link--channel-name,"good, recommended words[1, 2, 3]"
nav-links,"good, recommended words[2]"
js-freemium-cta ps-relative,"good, recommended words[5]"
139,"bad, no recommended words"
114,"bad, no recommended words"
,"bad, no recommended words"
teams.create.left-sidenav.click({ Action: 6 }),"good, recommended words[1, 2, 3, 5, 6]"
"[""teams left navigation - anonymous"",""left nav free cta"",""stackoverflow.com/teams/create/free"",null,null]","good, recommended words[1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15]"
https://stackoverflow.co/teams,"bad, recommended words[3, 4]"
teams.create.left-sidenav.click({ Action: 5 }),"good, recommended words[1, 2, 3, 5, 6]"
"[""teams left navigation - anonymous"",""left nav free cta"",""stackoverflow.com/teams"",null,null]","good, recommended words[1, 2, 3, 4, 5, 7, 10, 11, 12, 13]"
flex--item tt-uppercase fs-fine fc-light,"good, recommended words[1, 2, 4, 6, 8]"
flex--item,"good, recommended words[1, 2]"
javascript:void(0),"good, recommended words[2]"
popover-teams-create-cta,"good, recommended words[1, 2, 3]"
s-popover,"good, recommended words[2]"
s-popover#toggle,"good, recommended words[2, 3]"
is-selected,"good, recommended words[1, 2]"
teams.create.left-sidenav.click({ Action: ShowInfo }),"good, recommended words[1, 2, 3, 5, 6]"
"[""teams left navigation - anonymous"",""left nav show teams info"",null,null,null]","good, recommended words[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12]"
true,"good, recommended words[1]"
svg-icon iconInfoSm,"good, recommended words[2]"
14,"bad, no recommended words"
14,"bad, no recommended words"
0 0 14 14,"bad, no recommended words"
M7 1a6 6 0 1 1 0 12A6 6 0 0 1 7 1Zm1 10V6H6v5h2Zm0-6V3H6v2h2Z,"bad, no recommended words"
ps-relative js-create-team-cta d-none,"good, recommended words[2, 4, 5, 8]"
pl8 js-gps-track nav-links--link,"good, recommended words[1, 4, 6, 7]"
"Stack Overflow for Teams is a private, secure spot for your organization's questions and answers.","good, recommended words[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16]"
teams.create.left-sidenav.click({ Action: FreemiumTeamsCreateClick }),"good, recommended words[1, 2, 3, 5, 6]"
"[""teams left navigation - anonymous"",""left nav team click"",""stackoverflow.com/teams/create/free"",null,null]","good, recommended words[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15]"
d-flex ai-center,"good, recommended words[2, 4]"
s-avatar--letter mtn1,"good, recommended words[2, 3]"
true,"good, recommended words[1]"
svg-icon iconBriefcaseSm,"good, recommended words[2]"
14,"bad, no recommended words"
14,"bad, no recommended words"
0 0 14 14,"bad, no recommended words"
M4 3a1 1 0 0 1 1-1h4a1 1 0 0 1 1 1v1h.5c.83 0 1.5.67 1.5 1.5v5c0 .83-.67 1.5-1.5 1.5h-7A1.5 1.5 0 0 1 2 10.5v-5C2 4.67 2.67 4 3.5 4H4V3Zm5 1V3H5v1h4Z,"bad, no recommended words"
true,"good, recommended words[1]"
9,"bad, no recommended words"
10,"bad, no recommended words"
0 0 9 10,"bad, no recommended words"
M0 1.84 4.5 0 9 1.84v3.17C9 7.53 6.3 10 4.5 10 2.7 10 0 7.53 0 5.01V1.84Z,"bad, no recommended words"
var(--white),"good, recommended words[1, 2]"
M1 2.5 4.5 1 8 2.5v2.51C8 7.34 5.34 9 4.5 9 3.65 9 1 7.34 1 5.01V2.5Zm2.98 3.02L3.2 7h2.6l-.78-1.48a.4.4 0 0 1 .15-.38c.34-.24.73-.7.73-1.14 0-.71-.5-1.23-1.41-1.23-.92 0-1.39.52-1.39 1.23 0 .44.4.9.73 1.14.12.08.18.23.15.38Z,"bad, no recommended words"
flex--item pl6,"good, recommended words[1, 2, 3]"
s-popover ws2,"good, recommended words[2]"
popover-discover-collectives,"good, recommended words[1, 2, 3]"
menu,"good, recommended words[1]"
s-popover--arrow,"good, recommended words[2, 3]"
true,"good, recommended words[1]"
fc-orange-500 float-right ml24 svg-spot spotCollective,"good, recommended words[2, 3, 4, 5, 7]"
48,"bad, no recommended words"
48,"bad, no recommended words"
0 0 48 48,"bad, no recommended words"
M25.5 7a2.5 2.5 0 1 0 0-5 2.5 2.5 0 0 0 0 5ZM14 18.25c0-.69.56-1.25 1.25-1.25h22.5c.69 0 1.25.56 1.25 1.25V37.5a1 1 0 0 1-1.6.8l-4.07-3.05a1.25 1.25 0 0 0-.75-.25H15.25c-.69 0-1.25-.56-1.25-1.25v-15.5ZM7 24.5a2.5 2.5 0 1 1-5 0 2.5 2.5 0 0 1 5 0ZM25.5 48a2.5 2.5 0 1 0 0-5 2.5 2.5 0 0 0 0 5ZM48 24.5a2.5 2.5 0 1 1-5 0 2.5 2.5 0 0 1 5 0Z,"bad, no recommended words"
.2,"bad, no recommended words"
M21 3.5a3.5 3.5 0 1 1 7 0 3.5 3.5 0 0 1-7 0ZM24.5 2a1.5 1.5 0 1 0 0 3 1.5 1.5 0 0 0 0-3ZM0 23.5a3.5 3.5 0 1 1 7 0 3.5 3.5 0 0 1-7 0ZM3.5 22a1.5 1.5 0 1 0 0 3 1.5 1.5 0 0 0 0-3ZM21 44.5a3.5 3.5 0 1 1 7 0 3.5 3.5 0 0 1-7 0Zm3.5-1.5a1.5 1.5 0 1 0 0 3 1.5 1.5 0 0 0 0-3Zm20-23a3.5 3.5 0 1 0 0 7 3.5 3.5 0 0 0 0-7ZM43 23.5a1.5 1.5 0 1 1 3 0 1.5 1.5 0 0 1-3 0Zm-23.23-3.14a1 1 0 0 1-.13 1.4l-2.08 1.74 2.08 1.73a1 1 0 1 1-1.28 1.54l-2.42-2.02a1.63 1.63 0 0 1 0-2.5l2.42-2.02a1 1 0 0 1 1.4.13Zm7.59 1.41a1 1 0 1 1 1.28-1.54l2.42 2.02c.78.65.78 1.85 0 2.5l-2.42 2.02a1 1 0 1 1-1.28-1.54l2.08-1.73-2.08-1.73ZM24.12 18a1 1 0 0 1 .87 1.12l-1 8a1 1 0 1 1-1.98-.24l1-8a1 1 0 0 1 1.11-.87Zm-11.87-5C11.01 13 10 14 10 15.25v15.5c0 1.24 1 2.25 2.25 2.25h17.33c.06 0 .11.02.15.05l4.07 3.05a2 2 0 0 0 3.2-1.6V15.25c0-1.24-1-2.25-2.25-2.25h-22.5ZM12 15.25c0-.14.11-.25.25-.25h22.5c.14 0 .25.11.25.25V34.5l-4.07-3.05a2.2 2.2 0 0 0-1.35-.45H12.25a.25.25 0 0 1-.25-.25v-15.5Zm7.24-10.68a1 1 0 1 0-.48-1.94A22.04 22.04 0 0 0 2.91 17.7a1 1 0 1 0 1.92.58 20.04 20.04 0 0 1 14.4-13.72Zm11.05-1.66a1 1 0 0 0-.58 1.92c6.45 1.92 11.54 7 13.46 13.46a1 1 0 1 0 1.92-.58 22.05 22.05 0 0 0-14.8-14.8ZM4.57 28.76a1 1 0 0 0-1.94.48 22.03 22.03 0 0 0 16.13 16.13 1 1 0 1 0 .48-1.94A20.03 20.03 0 0 1 4.57 28.76Zm40.8.48a1 1 0 1 0-1.94-.48 20.04 20.04 0 0 1-13.72 14.41 1 1 0 0 0 .58 1.92 22.04 22.04 0 0 0 15.08-15.85Z,"bad, no recommended words"
my16 fs-caption fc-medium,"good, recommended words[1, 3, 5]"
/collectives,"good, recommended words[1]"
"top_nav.click({is_current:false, location:2, destination:18})","good, recommended words[1, 3, 4, 5, 6, 7, 8]"
s-popover,"good, recommended words[2]"
popover-teams-create-cta,"good, recommended words[1, 2, 3]"
menu,"good, recommended words[1]"
true,"good, recommended words[1]"
s-popover--arrow,"good, recommended words[2, 3]"
ps-relative overflow-hidden,"good, recommended words[2, 3, 4]"
https://stackoverflow.co/teams,"bad, recommended words[3, 4]"
teams.create.left-sidenav.click({ Action: CtaClick }),"good, recommended words[1, 2, 3, 5, 6]"
"[""teams left navigation - anonymous"",""left nav cta"",""stackoverflow.com/teams"",null,null]","good, recommended words[1, 2, 3, 4, 5, 9, 10, 11, 12]"
true,"good, recommended words[1]"
fc-orange-500 svg-spot spotPeople,"good, recommended words[2, 4]"
48,"bad, no recommended words"
48,"bad, no recommended words"
0 0 48 48,"bad, no recommended words"
M13.5 28a4.5 4.5 0 1 0 0-9 4.5 4.5 0 0 0 0 9ZM7 30a1 1 0 0 1 1-1h11a1 1 0 0 1 1 1v5h11v-5a1 1 0 0 1 1-1h12a1 1 0 0 1 1 1v10a2 2 0 0 1-2 2H33v5a1 1 0 0 1-1 1H20a1 1 0 0 1-1-1v-5H8a1 1 0 0 1-1-1V30Zm25-6.5a4.5 4.5 0 1 0 9 0 4.5 4.5 0 0 0-9 0ZM24.5 34a4.5 4.5 0 1 0 0-9 4.5 4.5 0 0 0 0 9Z,"bad, no recommended words"
.2,"bad, no recommended words"
M16.4 26.08A6 6 0 1 0 7.53 26C5.64 26.06 4 27.52 4 29.45V40a1 1 0 0 0 1 1h9a1 1 0 1 0 0-2h-4v-7a1 1 0 1 0-2 0v7H6v-9.55c0-.73.67-1.45 1.64-1.45H16a1 1 0 0 0 .4-1.92ZM12 18a4 4 0 1 1 0 8 4 4 0 0 1 0-8Zm16.47 14a6 6 0 1 0-8.94 0A3.6 3.6 0 0 0 16 35.5V46a1 1 0 0 0 1 1h14a1 1 0 0 0 1-1V35.5c0-1.94-1.64-3.42-3.53-3.5ZM20 28a4 4 0 1 1 8 0 4 4 0 0 1-8 0Zm-.3 6h8.6c1 0 1.7.75 1.7 1.5V45h-2v-7a1 1 0 1 0-2 0v7h-4v-7a1 1 0 1 0-2 0v7h-2v-9.5c0-.75.7-1.5 1.7-1.5ZM42 22c0 1.54-.58 2.94-1.53 4A3.5 3.5 0 0 1 44 29.45V40a1 1 0 0 1-1 1h-9a1 1 0 1 1 0-2h4v-7a1 1 0 1 1 2 0v7h2v-9.55A1.5 1.5 0 0 0 40.48 28H32a1 1 0 0 1-.4-1.92A6 6 0 1 1 42 22Zm-2 0a4 4 0 1 0-8 0 4 4 0 0 0 8 0Z,"bad, no recommended words"
.35,"bad, no recommended words"
