Tag,Depth,Previous Sibling,Number of Children,Full Tag,Full Previous Tag
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">title</span>
<span class=""c1""># &lt;title&gt;The Dormouse's story&lt;/title&gt;</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">title</span><span class=""o"">.</span><span class=""n"">name</span>
<span class=""c1""># u'title'</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">title</span><span class=""o"">.</span><span class=""n"">string</span>
<span class=""c1""># u'The Dormouse's story'</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">title</span><span class=""o"">.</span><span class=""n"">parent</span><span class=""o"">.</span><span class=""n"">name</span>
<span class=""c1""># u'head'</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">p</span>
<span class=""c1""># &lt;p class=""title""&gt;&lt;b&gt;The Dormouse's story&lt;/b&gt;&lt;/p&gt;</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">p</span><span class=""p"">[</span><span class=""s1"">'class'</span><span class=""p"">]</span>
<span class=""c1""># u'title'</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">a</span>
<span class=""c1""># &lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s1"">'a'</span><span class=""p"">)</span>
<span class=""c1""># [&lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;Elsie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;Lacie&lt;/a&gt;,</span>
<span class=""c1"">#  &lt;a class=""sister"" href=""http://example.com/tillie"" id=""link3""&gt;Tillie&lt;/a&gt;]</span>

<span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find</span><span class=""p"">(</span><span class=""nb"">id</span><span class=""o"">=</span><span class=""s2"">""link3""</span><span class=""p"">)</span>
<span class=""c1""># &lt;a class=""sister"" href=""http://example.com/tillie"" id=""link3""&gt;Tillie&lt;/a&gt;</span>
</pre></div>
</div>
<p>One common task is extracting all the URLs found within a page’s &lt;a&gt; tags:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""k"">for</span> <span class=""n"">link</span> <span class=""ow"">in</span> <span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">find_all</span><span class=""p"">(</span><span class=""s1"">'a'</span><span class=""p"">):</span>
    <span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">link</span><span class=""o"">.</span><span class=""n"">get</span><span class=""p"">(</span><span class=""s1"">'href'</span><span class=""p"">))</span>
<span class=""c1""># http://example.com/elsie</span>
<span class=""c1""># http://example.com/lacie</span>
<span class=""c1""># http://example.com/tillie</span>
</pre></div>
</div>
<p>Another common task is extracting all the text from a page:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">get_text</span><span class=""p"">())</span>
<span class=""c1""># The Dormouse's story</span>
<span class=""c1"">#</span>
<span class=""c1""># The Dormouse's story</span>
<span class=""c1"">#</span>
<span class=""c1""># Once upon a time there were three little sisters; and their names were</span>
<span class=""c1""># Elsie,</span>
<span class=""c1""># Lacie and</span>
<span class=""c1""># Tillie;</span>
<span class=""c1""># and they lived at the bottom of a well.</span>
<span class=""c1"">#</span>
<span class=""c1""># ...</span>
</pre></div>
</div>
<p>Does this look like what you need? If so, read on.</p>
</div>
<div class=""section"" id=""installing-beautiful-soup"">
<h1>Installing Beautiful Soup<a class=""headerlink"" href=""#installing-beautiful-soup"" title=""Permalink to this headline"">¶</a></h1>
<p>If you’re using a recent version of Debian or Ubuntu Linux, you can
install Beautiful Soup with the system package manager:</p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">apt</kbd>-<kbd class=""kbd docutils literal notranslate"">get</kbd> <kbd class=""kbd docutils literal notranslate"">install</kbd> <kbd class=""kbd docutils literal notranslate"">python3</kbd>-<kbd class=""kbd docutils literal notranslate"">bs4</kbd></kbd></p>
<p>Beautiful Soup 4 is published through PyPi, so if you can’t install it
with the system packager, you can install it with <code class=""docutils literal notranslate""><span class=""pre"">easy_install</span></code> or
<code class=""docutils literal notranslate""><span class=""pre"">pip</span></code>. The package name is <code class=""docutils literal notranslate""><span class=""pre"">beautifulsoup4</span></code>. Make sure you use the
right version of <code class=""docutils literal notranslate""><span class=""pre"">pip</span></code> or <code class=""docutils literal notranslate""><span class=""pre"">easy_install</span></code> for your Python version
(these may be named <code class=""docutils literal notranslate""><span class=""pre"">pip3</span></code> and <code class=""docutils literal notranslate""><span class=""pre"">easy_install3</span></code> respectively).</p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">easy_install</kbd> <kbd class=""kbd docutils literal notranslate"">beautifulsoup4</kbd></kbd></p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">pip</kbd> <kbd class=""kbd docutils literal notranslate"">install</kbd> <kbd class=""kbd docutils literal notranslate"">beautifulsoup4</kbd></kbd></p>
<p>(The <code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup</span></code> package is <cite>not</cite> what you want. That’s
the previous major release, <a class=""reference external"" href=""http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html"">Beautiful Soup 3</a>. Lots of software uses
BS3, so it’s still available, but if you’re writing new code you
should install <code class=""docutils literal notranslate""><span class=""pre"">beautifulsoup4</span></code>.)</p>
<p>If you don’t have <code class=""docutils literal notranslate""><span class=""pre"">easy_install</span></code> or <code class=""docutils literal notranslate""><span class=""pre"">pip</span></code> installed, you can
<a class=""reference external"" href=""http://www.crummy.com/software/BeautifulSoup/download/4.x/"">download the Beautiful Soup 4 source tarball</a> and
install it with <code class=""docutils literal notranslate""><span class=""pre"">setup.py</span></code>.</p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">python</kbd> <kbd class=""kbd docutils literal notranslate"">setup.py</kbd> <kbd class=""kbd docutils literal notranslate"">install</kbd></kbd></p>
<p>If all else fails, the license for Beautiful Soup allows you to
package the entire library with your application. You can download the
tarball, copy its <code class=""docutils literal notranslate""><span class=""pre"">bs4</span></code> directory into your application’s codebase,
and use Beautiful Soup without installing it at all.</p>
<p>I use Python 3.8 to develop Beautiful Soup, but it should work with
other recent versions.</p>
<div class=""section"" id=""installing-a-parser"">
<span id=""parser-installation""></span><h2>Installing a parser<a class=""headerlink"" href=""#installing-a-parser"" title=""Permalink to this headline"">¶</a></h2>
<p>Beautiful Soup supports the HTML parser included in Python’s standard
library, but it also supports a number of third-party Python parsers.
One is the <a class=""reference external"" href=""http://lxml.de/"">lxml parser</a>. Depending on your setup,
you might install lxml with one of these commands:</p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">apt</kbd>-<kbd class=""kbd docutils literal notranslate"">get</kbd> <kbd class=""kbd docutils literal notranslate"">install</kbd> <kbd class=""kbd docutils literal notranslate"">python</kbd>-<kbd class=""kbd docutils literal notranslate"">lxml</kbd></kbd></p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">easy_install</kbd> <kbd class=""kbd docutils literal notranslate"">lxml</kbd></kbd></p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">pip</kbd> <kbd class=""kbd docutils literal notranslate"">install</kbd> <kbd class=""kbd docutils literal notranslate"">lxml</kbd></kbd></p>
<p>Another alternative is the pure-Python <a class=""reference external"" href=""http://code.google.com/p/html5lib/"">html5lib parser</a>, which parses HTML the way a
web browser does. Depending on your setup, you might install html5lib
with one of these commands:</p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">apt</kbd>-<kbd class=""kbd docutils literal notranslate"">get</kbd> <kbd class=""kbd docutils literal notranslate"">install</kbd> <kbd class=""kbd docutils literal notranslate"">python</kbd>-<kbd class=""kbd docutils literal notranslate"">html5lib</kbd></kbd></p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">easy_install</kbd> <kbd class=""kbd docutils literal notranslate"">html5lib</kbd></kbd></p>
<p><kbd class=""kbd docutils literal notranslate""><kbd class=""kbd docutils literal notranslate"">$</kbd> <kbd class=""kbd docutils literal notranslate"">pip</kbd> <kbd class=""kbd docutils literal notranslate"">install</kbd> <kbd class=""kbd docutils literal notranslate"">html5lib</kbd></kbd></p>
<p>This table summarizes the advantages and disadvantages of each parser library:</p>
<table class=""docutils align-default"">
<colgroup>
<col style=""width: 18%""/>
<col style=""width: 35%""/>
<col style=""width: 26%""/>
<col style=""width: 21%""/>
</colgroup>
<tbody>
<tr class=""row-odd""><td><p>Parser</p></td>
<td><p>Typical usage</p></td>
<td><p>Advantages</p></td>
<td><p>Disadvantages</p></td>
</tr>
<tr class=""row-even""><td><p>Python’s html.parser</p></td>
<td><p><code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup(markup,</span> <span class=""pre"">""html.parser"")</span></code></p></td>
<td><ul class=""simple"">
<li><p>Batteries included</p></li>
<li><p>Decent speed</p></li>
<li><p>Lenient (As of Python 3.2)</p></li>
</ul>
</td>
<td><ul class=""simple"">
<li><p>Not as fast as lxml,
less lenient than
html5lib.</p></li>
</ul>
</td>
</tr>
<tr class=""row-odd""><td><p>lxml’s HTML parser</p></td>
<td><p><code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup(markup,</span> <span class=""pre"">""lxml"")</span></code></p></td>
<td><ul class=""simple"">
<li><p>Very fast</p></li>
<li><p>Lenient</p></li>
</ul>
</td>
<td><ul class=""simple"">
<li><p>External C dependency</p></li>
</ul>
</td>
</tr>
<tr class=""row-even""><td><p>lxml’s XML parser</p></td>
<td><p><code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup(markup,</span> <span class=""pre"">""lxml-xml"")</span></code>
<code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup(markup,</span> <span class=""pre"">""xml"")</span></code></p></td>
<td><ul class=""simple"">
<li><p>Very fast</p></li>
<li><p>The only currently supported
XML parser</p></li>
</ul>
</td>
<td><ul class=""simple"">
<li><p>External C dependency</p></li>
</ul>
</td>
</tr>
<tr class=""row-odd""><td><p>html5lib</p></td>
<td><p><code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup(markup,</span> <span class=""pre"">""html5lib"")</span></code></p></td>
<td><ul class=""simple"">
<li><p>Extremely lenient</p></li>
<li><p>Parses pages the same way a
web browser does</p></li>
<li><p>Creates valid HTML5</p></li>
</ul>
</td>
<td><ul class=""simple"">
<li><p>Very slow</p></li>
<li><p>External Python
dependency</p></li>
</ul>
</td>
</tr>
</tbody>
</table>
<p>If you can, I recommend you install and use lxml for speed. If you’re
using a very old version of Python – earlier than 3.2.2 – it’s
<cite>essential</cite> that you install lxml or html5lib. Python’s built-in HTML
parser is just not very good in those old versions.</p>
<p>Note that if a document is invalid, different parsers will generate
different Beautiful Soup trees for it. See <a class=""reference internal"" href=""#differences-between-parsers"">Differences
between parsers</a> for details.</p>
</div>
</div>
<div class=""section"" id=""making-the-soup"">
<h1>Making the soup<a class=""headerlink"" href=""#making-the-soup"" title=""Permalink to this headline"">¶</a></h1>
<p>To parse a document, pass it into the <code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup</span></code>
constructor. You can pass in a string or an open filehandle:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""kn"">from</span> <span class=""nn"">bs4</span> <span class=""kn"">import</span> <span class=""n"">BeautifulSoup</span>

<span class=""k"">with</span> <span class=""nb"">open</span><span class=""p"">(</span><span class=""s2"">""index.html""</span><span class=""p"">)</span> <span class=""k"">as</span> <span class=""n"">fp</span><span class=""p"">:</span>
    <span class=""n"">soup</span> <span class=""o"">=</span> <span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""n"">fp</span><span class=""p"">,</span> <span class=""s1"">'html.parser'</span><span class=""p"">)</span>

<span class=""n"">soup</span> <span class=""o"">=</span> <span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""s2"">""&lt;html&gt;a web page&lt;/html&gt;""</span><span class=""p"">,</span> <span class=""s1"">'html.parser'</span><span class=""p"">)</span>
</pre></div>
</div>
<p>First, the document is converted to Unicode, and HTML entities are
converted to Unicode characters:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""s2"">""&lt;html&gt;&lt;head&gt;&lt;/head&gt;&lt;body&gt;Sacr&amp;eacute; bleu!&lt;/body&gt;&lt;/html&gt;""</span><span class=""p"">,</span> <span class=""s2"">""html.parser""</span><span class=""p"">))</span>
<span class=""c1""># &lt;html&gt;&lt;head&gt;&lt;/head&gt;&lt;body&gt;Sacré bleu!&lt;/body&gt;&lt;/html&gt;</span>
</pre></div>
</div>
<p>Beautiful Soup then parses the document using the best available
parser. It will use an HTML parser unless you specifically tell it to
use an XML parser. (See <a class=""reference internal"" href=""#id17"">Parsing XML</a>.)</p>
</div>
<div class=""section"" id=""kinds-of-objects"">
<h1>Kinds of objects<a class=""headerlink"" href=""#kinds-of-objects"" title=""Permalink to this headline"">¶</a></h1>
<p>Beautiful Soup transforms a complex HTML document into a complex tree
of Python objects. But you’ll only ever have to deal with about four
<cite>kinds</cite> of objects: <code class=""docutils literal notranslate""><span class=""pre"">Tag</span></code>, <code class=""docutils literal notranslate""><span class=""pre"">NavigableString</span></code>, <code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup</span></code>,
and <code class=""docutils literal notranslate""><span class=""pre"">Comment</span></code>.</p>
<div class=""section"" id=""tag"">
<span id=""id5""></span><h2><code class=""docutils literal notranslate""><span class=""pre"">Tag</span></code><a class=""headerlink"" href=""#tag"" title=""Permalink to this headline"">¶</a></h2>
<p>A <code class=""docutils literal notranslate""><span class=""pre"">Tag</span></code> object corresponds to an XML or HTML tag in the original document:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">soup</span> <span class=""o"">=</span> <span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""s1"">'&lt;b class=""boldest""&gt;Extremely bold&lt;/b&gt;'</span><span class=""p"">,</span> <span class=""s1"">'html.parser'</span><span class=""p"">)</span>
<span class=""n"">tag</span> <span class=""o"">=</span> <span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">b</span>
<span class=""nb"">type</span><span class=""p"">(</span><span class=""n"">tag</span><span class=""p"">)</span>
<span class=""c1""># &lt;class 'bs4.element.Tag'&gt;</span>
</pre></div>
</div>
<p>Tags have a lot of attributes and methods, and I’ll cover most of them
in <a class=""reference internal"" href=""#navigating-the-tree"">Navigating the tree</a> and <a class=""reference internal"" href=""#searching-the-tree"">Searching the tree</a>. For now, the most
important features of a tag are its name and attributes.</p>
<div class=""section"" id=""name"">
<h3>Name<a class=""headerlink"" href=""#name"" title=""Permalink to this headline"">¶</a></h3>
<p>Every tag has a name, accessible as <code class=""docutils literal notranslate""><span class=""pre"">.name</span></code>:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">name</span>
<span class=""c1""># 'b'</span>
</pre></div>
</div>
<p>If you change a tag’s name, the change will be reflected in any HTML
markup generated by Beautiful Soup:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">name</span> <span class=""o"">=</span> <span class=""s2"">""blockquote""</span>
<span class=""n"">tag</span>
<span class=""c1""># &lt;blockquote class=""boldest""&gt;Extremely bold&lt;/blockquote&gt;</span>
</pre></div>
</div>
</div>
<div class=""section"" id=""attributes"">
<h3>Attributes<a class=""headerlink"" href=""#attributes"" title=""Permalink to this headline"">¶</a></h3>
<p>A tag may have any number of attributes. The tag <code class=""docutils literal notranslate""><span class=""pre"">&lt;b</span>
<span class=""pre"">id=""boldest""&gt;</span></code> has an attribute “id” whose value is
“boldest”. You can access a tag’s attributes by treating the tag like
a dictionary:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">tag</span> <span class=""o"">=</span> <span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""s1"">'&lt;b id=""boldest""&gt;bold&lt;/b&gt;'</span><span class=""p"">,</span> <span class=""s1"">'html.parser'</span><span class=""p"">)</span><span class=""o"">.</span><span class=""n"">b</span>
<span class=""n"">tag</span><span class=""p"">[</span><span class=""s1"">'id'</span><span class=""p"">]</span>
<span class=""c1""># 'boldest'</span>
</pre></div>
</div>
<p>You can access that dictionary directly as <code class=""docutils literal notranslate""><span class=""pre"">.attrs</span></code>:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">attrs</span>
<span class=""c1""># {'id': 'boldest'}</span>
</pre></div>
</div>
<p>You can add, remove, and modify a tag’s attributes. Again, this is
done by treating the tag as a dictionary:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">tag</span><span class=""p"">[</span><span class=""s1"">'id'</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""s1"">'verybold'</span>
<span class=""n"">tag</span><span class=""p"">[</span><span class=""s1"">'another-attribute'</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""mi"">1</span>
<span class=""n"">tag</span>
<span class=""c1""># &lt;b another-attribute=""1"" id=""verybold""&gt;&lt;/b&gt;</span>

<span class=""k"">del</span> <span class=""n"">tag</span><span class=""p"">[</span><span class=""s1"">'id'</span><span class=""p"">]</span>
<span class=""k"">del</span> <span class=""n"">tag</span><span class=""p"">[</span><span class=""s1"">'another-attribute'</span><span class=""p"">]</span>
<span class=""n"">tag</span>
<span class=""c1""># &lt;b&gt;bold&lt;/b&gt;</span>

<span class=""n"">tag</span><span class=""p"">[</span><span class=""s1"">'id'</span><span class=""p"">]</span>
<span class=""c1""># KeyError: 'id'</span>
<span class=""n"">tag</span><span class=""o"">.</span><span class=""n"">get</span><span class=""p"">(</span><span class=""s1"">'id'</span><span class=""p"">)</span>
<span class=""c1""># None</span>
</pre></div>
</div>
